GroupId	Words
1	34,139,141,228,435,438,875,933
2	7,37,43,49,53,58,68,69,86,94,100,104,120,121,145,150,152,153,166,184,195,196,208,211,214,215,217,239,247,250,276,286,311,315,332,409,416,456,472,496,513,587,599,625,629,652,654,688,698,765,767,770,834,845,852,866,880,912,917,925,932,957
3	8,12,16,26,38,39,50,55,67,72,74,77,79,90,95,114,123,125,136,147,149,156,172,177,180,189,204,241,285,288,299,300,308,329,340,342,344,374,400,405,424,450,459,464,493,498,534,535,537,562,604,622,649,657,728,746,754,778,783,789,796,894,895,922,936
4	22,27,101,154,200,244,367,471,536,645,744,772,821,861,864,867,888,909,945
5	45,85,91,185,191,205,206,233,234,302,305,325,343,399,402,425,441,490,519,547,637,828,847,878
6	11,178,193,509,702,961,965
7	3,4,5,33,36,46,89,112,133,171,397,546,585,602,668,730,857,927,955
8	41,44,62,82,87,222,347,418,480,518,635,780,786,790
9	17,18,19,20,21,52,56,66,78,88,97,98,209,232,238,281,312,345,346,423,507,510,511,553,580,600,624,676,684,690,696,775,819,842,889,918,919,926
10	23,25,48,75,80,118,122,140,182,192,203,221,249,287,307,333,365,392,394,401,403,430,433,469,476,477,487,497,543,544,575,576,593,605,610,641,646,651,670,678,692,706,708,742,806,814,829,835,836,881,891,897,913,929,954,963
11	201,278,280,355,372,382,389,429,447,463,479,561,638,711,745,883,892,914
12	1,10,13,32,70,71,76,108,126,129,137,148,173,199,210,246,269,271,274,292,309,353,387,412,449,563,663,681,715,739,753,803,815,839,930
13	30,31,106,109,115,124,131,134,151,324,379,434,474,554,564,577,634,643,666,682,720,749
14	2,9,14,42,61,63,127,227,294,321,322,330,414,415,488,584,612,644,732,795,841,868,899
15	110,163,181,186,236,242,295,334,378,408,420,443,567,590,703,735,766,823
16	15,59,111,119,135,167,187,354,404,505,614,659,671,724,762,896,904,923
17	29,103,138,170,183,231,591,673,750,781,804,808
18	105,155,219,247,248,250,257,270,526,581,587,627,630,737,791,843
19	64,161,176,255,451,542,647,853
20	157,243,256,262,467,529,572,582,628,712,713,805,818,830,901,939
21	174,486,540,592,788,877,903
22	57,213,266,579,723,924
23	51,113,291,390,523,771
24	107,143,396,398,597,947
25	168,460,686,758
26	102,162,959
27	525,655
28	146,245,611
29	24,28,92,197,264,331,335,366,283,473,586,672,701,833,797,943
30	128,130,142,190,237,360,427,484,485,501,594,694,727,731
31	188,254,272,384,368,369,407,539,636,707,844,934,942
32	116,165,226,230,514,520,528,533,740,757,872,967
33	202,218,313,350,436,461,462,626,699,714,721,752,763,831,849,886,893
