id	phrase	reviewIds	examples sentence fragments
1	love	175,31,13,224,180,247,89,380,90,461,112,163,35,264,57,346,323,77,80,269,414,178,332,166,90,405,280,287,256,20,131,466,371,338,430,352,179,398,272,464,275,286,477,164,341,11,372,66	ordered 3 of these love them for winter,were perfect as before love these,i love the product and,gray and light green love all three wash,love the style however,love this shirt beautiful,i love the feel of,than most burnout tanks love them,most humid day omg love them two minor,i absolutely love yogacolors products i,i love this shirt though,tailored shirts which i love i do not,as an under layer love the cream color,i love these shirts because,i love the sleeve length,fit as expected i love to wear this,love love these cotton,love this top its,love these tank tops,love the fabric fits,i love this tank i,love these shapers ca,they work great i love the length,i love the blouse but,i love these tops life,i love this blouse i,i love this top it,i love this cami it,a bit tight i love the openness of,i love my shirt gotapparel,love camis and this,i love this shirt especially,i love shopping on line,works very well i love this shirt,i love this shirt fits,i love this blouse it,love this tank top,love this seller arrives,i just love this heavy bug,i love these shirts and,i love shopping amazon it,love the color this,this to yoga and love it just the,i love love love this shirt it,love the color the,good quality fabric comfortable fit love it,great fit love the shirts,fantastic value love this shirt
2	comfortable	112,377,199,246,409,439,122,271,31,101,81,49,1,323,464,352,430,412,264,476,473,268,87,66,500	large it 's very comfortable and looks great,with anything and is comfortable,comfortable and great fit,great washed nicely and comfortable,i expected it is comfortable and it is,out the material is comfortable too worth every,this cami is very comfortable and soft the,is very cool and comfortable for the southern,fit great and was comfortable and surprisingly cool,and big earrings just comfortable and fun you,but it is still comfortable and not to,she says it 's comfortable and she loves,very pretty and comfortable but offers no,perfect & is very comfortable the material is,your stomach lol very comfortable and i 'm,this blouse it is comfortable and is great,this shirt fits very comfortable,had yet it 's comfortable this is a,to make me feel comfortable and they hold,coo l comfortable and sufficiently loose,as a single layer comfortable in a gym,comfortable sexy colorful,this fit perfectly --> slim tight comfortable and soft,pair of jeans very comfortable nice fabric will reorder,lightweight comfortable and looks great
3	nice	381,122,497,295,382,225,365,120,37,148,96,445,29,100,43,30	it 's very nice but much larger,overall it 's a nice cami for the,it back a very nice blouse,and the material is nice i like the,and it is really nice it fits well,nice shirt runs small,size smaller but still nice,this is a nice camisole my only,of the shirt are nice,top will make a nice neutral addition to,it 's nice and fairly soft,ordering this this its nice besides it being,shirt that washes up nice i use the,nicely soft material very nice,nice shirt and fits,easy care nice clot
4	perfect	479,228,31,375,131,345,362,52,61,392,427,169,124,323,485,261,154,79	is thin which is perfect for the hot,to play fit is perfect have purchased 2,day the shirts were perfect as before love,than that it was perfect,and this one is perfect,tight and these are perfect they are long,a 3x and its perfect,work it was just perfect the pink color,and the fit was perfect i especially like,so this will be perfect,fantastic fit comfort and perfect amount of bling,this was perfect for the job,pretty the small was perfect the medium is,comfortable the material is perfect not too thin,good quality shirt perfect for work runs,the fit is perfect true to size,perfect under sheer tops,perfect for layering
5	great	276,70,115,301,457,252,345,265,183,71,84,158,308,213,194,246,95	was great going to order,wear this shirt is great the customer service,quality is great but sizes are,and the color is great,great yoga top very,it the print is great even my very,and they are still great they have been,4 this is a great all around plus,& the fabric is great so i 'll,thrift shop it first great,fashion blog about how great these tanks are,the shirt however is great,style is great,good quality great fitting,it was delivered promptly great product,products are great washed nicely and comfortable,an inch or two too short for me otherwise its great
6	quality	339,373,50,109,399,237,189,115,55,104,130,240,284	have no problem with quality of product service,not impressed with the quality the color however,too short for me quality of the fabric,wear because of their quality and easy care,very upset that the quality is no where,does n't wrinkle orvis quality at a good,it very good in quality thanks to amazon,quality is great but,nice fit and quality,did not like the quality of this shirt,the quality of this cami,excellent fit and quality,quality is good however
7	too small	468,227,436,9,60,200,138,173,51,400,92,471	is about a size too small it 's of,the size was still too small although the sizing,for good coverage but too small for me in,would have been way too small,made but a little too small and i usually,say it 's way too small i would say,the bra was way too small but i cut,it 's way too small it 's non,it is cut almost too small if it shrinks,beautiful shirt slightly too small even with using,much however they were too small sent them back,product is too small ill constructed
8	fit	13,228,261,61,316,469,210,480,4,126,44,306,383	the product and it fit my 40dd breast,or out to play fit is perfect have,late fall wedding the fit is perfect true,white color and the fit was perfect i,looked like it would fit a little freely,on time delivery the fit is on the,shirt is nice the fit is somewhat large,love this top the fit and feel are,5 2 and this fit her nicely unlike,stated large but the fit was like extra,before i like there fit and style and,fit was okay,very happy with the fit fabric quality and comfort
9	very comfortable	458,168,215,426,460,334,254,457,123,9,177,58	i like it lots very comfortable while working out,all the right places very comfortable,love it it 's very comfortable,all the right places very comfortable,very comfortable and hides my,wanted but they are very comfortable and the colors,very comfortable and like that,great yoga top very comfortable and soft makes,very nice tank top very comfortable and stylish great,it is a very comfortable denim shirt however,lost weight this was very comfortable but a little,awesome fit very comfortable
10	like	432,196,44,2,81,291,92,277,320,48	i like it a lot,the color is just like the picture,and jones before i like there fit and,i like cuddl duds and,i like this tank so,i like the shirt and,i like the shelf bras,n't look at all like the picture made,i like the material and,i like the shirt but
11	soft	412,125,457,77,290,122,139,193,6,87,253	the bust area is soft fabric that very,camisole the fabric was soft and the fit,top very comfortable and soft makes for an,this top its so soft and fits like,really well and very soft,is very comfortable and soft the material is,but it 's really soft and fits comfortably,material is light and soft as well i,soft base for winter,slim tight comfortable and soft i would wear,material is so soft feels great on the skin
12	fits well	382,326,356,295,43,128,183,29,269,266,335	is really nice it fits well but sometimes has,is made well and fits well but the color,fits well i 'm pleased,the top fits well and the material,nice shirt and fits well,also very soft and fits well,was disappointing but it fits well & the fabric,use the delicate cycle fits well,love the fabric fits well combination of blues,it fits well and looks pretty,fits well too many buttons other than that
