1	love	443,41,112,480,244,434,49,487,477,418,233,65,31,451,360,302,15,418,434,432,436,434,365,489,31,473,416,381,148,385,461,34,28,171,26,306,443,451,38,410,11,433,6	to it love it love it,great book great book love,i love robin hobb 's,love jaime & claire love fergus everyone,i just love his story telling,laurell k. hamilton i love her books i,strengths weaknesses talents i love this book i,characters you fell in love with there were,i love the outlander series,gripping and addictive i love this series,i love the outlander series,great story continues i love when i read,saga continues love < love love & love,love her writing and,that being said i love the additions to,i love all of his,i love the whole outlander,i love this series now,primarily because i absolutely love laurell k. hamilton,or unimaginative but i love these books i,to start and i love it as much,this fantastic read i love all the characters,love this series of,i love her style witty,one the saga continues love < love love,novel with courage and love shown by its,the next book i love the way the,still reading and i love getting more insight,love these novels i,i love the hbo series,i love the entire series,i love these books despite,the next book i love the way fiction,do n't read i love all of these,i love the entire series,love neil gaiman,can listen to it love it love it,her writing and particularly love this concept tristan,i am in love with this series,than the hbo series love the format of,love the way this author writes,great book - love the way she writes,love this series
2	interesting	355,232,437,351,313,109,317,399,104,267,284,343,81,400,101,40,268,303,19,100,282,278	a very interesting read and different,outlander series it is interesting to learn about,read the characters are interesting and the whole,it was really interesting to look at,it was an interesting and well thought,an interesting story with some,thought the storyline was interesting and the characters,and i found it interesting to read after,stories the story was interesting but did not,trilogy the characters are interesting and well developed,'s idea was very interesting and he obviously,time to be as interesting and filled out,characters continued to be interesting her writing style,well thought out characters interesting scenarios with multiple,are real human and interesting,keep the characters as interesting as in previous,of philosophy worked in interesting characters and situations,interesting premise the story,in this series but interesting none the less,the creative world building interesting characters and the,it 's an interesting concept for a,other characters that are interesting and well done
3	enjoyed	185,263,76,330,362,465,315,117,223,388,74,113,413,132,100,317,445,192,119,435	i enjoyed it very much,the series i really enjoyed it immensely,i enjoyed this as much,wonderful story enjoyed every moment,i really enjoyed the first volume,good story line i enjoyed reading it but,i enjoyed reading this sometimes,all my friends who enjoyed the game of,really enjoyed this one it,i have really enjoyed these books and,a fantastic climax really enjoyed this whole series,i enjoyed this new story,was amazing i thoroughly enjoyed it worth the,read a book i enjoyed so much as,the book but i enjoyed it enough to,the author and i enjoyed this one the,for my son he enjoyed it very much,book and series i enjoyed watching video the,next book overall i enjoyed reading assassin 's,of the books and enjoyed them the second
4	good	48,288,282,405,329,47,202,487,111,484,45,114,334,244,338,344,1,437,196	favorite but still a good read,good book refreshing storyline,the overall plot is good however the book,as good as the hbo,'s work and how good it was but,good but a bit,as good as all other,parts but overall a good read,good but not great,this book was as good as the 1st,outlander series it is good to see bree,story hobb is a good writer in this,original story it was good but a bit,main story line is good,it was a good book i had,book is spellbinding so good in fact that,rest then its a good lite read for,good the book is,good wacky summer read
5	great	454,79,72,237,191,181,346,311,382,127,131,44,157,124,291,410	and this one are great and i highly,great way to end,read great character development great storytelling i was,fiction this is a great place to start,i thought it was great,great series will keep,disappoint the characters were great and helped to,thought the characters were great the story was,so far it is great,the whole series is great not just this,story this series is great the worlds and,these are great books i have,great more or less,by robin hobbs was great and a must,all the books are great,great better than the
6	amazing	479,59,225,159,413,149,173,227,213,397,403,404,143,350,412,394	this is amazing i ca n't,to diana for an amazing series which has,mccaffrey has always been amazing in her dragonriders,amazing book series i,been this book was amazing i thoroughly enjoyed,however the characters are amazing when some bad,amazing as usual loved,series is just as amazing as every other,reading once i started amazing to finally discover,amazing book series i,anyway the book is amazing,amazing book and a,what an amazing read this book,turned it into an amazing musical the musical,it was amazing,amazing - thrilling - captivating
7	loved	206,367,427,183,491,128,32,440,467,324,51,208,321,8	loved the story got,written and i have loved the story thus,loved the first book,i loved the hbo show,one adventure after another loved the previous book,better with age always loved this series from,for me but still loved all of her,really enjoyed it i loved the faerie magic,that at all i loved this book,i loved this book neil,i loved this 5th book,action and adventure i loved it,put this book down loved it,fantastic book - loved all of it
8	best	270,251,431,231,33,484,259,136,369,260,139	is one of the best in the series,the best trilogy in the,is one of the best at it kudos,one of her best lord john grey,first one was the best this was a,to do so the best series i have,but it is the best of king well,best of the 3,thrones series is the best read i have,and by far the best book of the,best of the entire
9	wonderful	283,39,285,324,39,115,240,330,443,278,384,420,341	this was a wonderful and unique book,that place and time wonderful book especially love,end it 's a wonderful experience living in,so many of this wonderful author 's books,fiery cross is a wonderful history of jamie,the plot hobb made wonderful use out of,would n't it be wonderful,wonderful sto,great read - wonderful,wonderful - exciting - can't put down,this was a wonderful imaginative piece of fantasy
10	exciting	496,478,32,400,60,188,146,486,6,420	and the plot is exciting and romantic give,keeps the story line exciting from beginning to,but only a few exciting encounters and events,interweaving the book is exciting and a real,which is equally as exciting,last 150 pages were exciting and just the,a lot more exciting than clash of,exciting and surprising twists,read more about the exciting adventures of claire,wonderful - exciting - can't put down
