GroupId	Words
1	18,38,39,59,74,81,150,192,221,224,239,260,310,348,523,640
2	161,167,417,463
3	105,176,210,274,289,436,475,497,537,675
4	154,162,196,291,304,553
5	76,97,103,123,138,147,280,322,385,478,559,761
6	42,711,756
7	6,20,37,53,54,73,79,82,84,90,108,112,121,127,132,153,160,169,170,175,177,205,235,242,276,292,300,307,384,391,420,421,431,477,534
8	22,40,182,216,320,451
9	61,80,99,100,206,880
10	163,165,189,258,281,350
11	5,9,16,23,34,55,64,66,117,124,157,181,200,234,262,283,303,511,512,617
12	2,17,19,24,25,32,63,75,519,77,110,118,139,197,218
13	11,21,26,36,70,111,149,267,584
14	8,35,50,85,104,106,115,191,208,226,432,645,907
15	4,13,56,92,136,193,215,346
16	57,62,514
17	3,27,30,31,41,69,87,102,131,493
18	29,91,156
19	45,51,65,129,148,203,362,407,440
