1	great	99,81,320,173,174,336,411,156,200,447,334,492,231,480,187,416,252,265,293,127,140,253,492,477,404,69,99,147,209,331,227,47,467,272,184,113,296,154,52,351,99,67,247,342,494,295,26,490,420,115,137	class of course but great pictures can be,worked great for my vacation,this is a great camera video is,once again realize how great of a purchase,that time it took great pictures and was,great camera convenient size,great i recommend it,of the pictures is great my only problem,excellent camera it takes great photos with all,is my final recommendation great camera for basic,this is a great little point and,fun little camera take great pix & videos,it takes great pictures and it,great camera with long,great little camera still,years now it was great took excellent pictures,wrong photo quality is great and i 'm,this is a great camera i became,to carry and takes great photos either in,great just as adversized,and it was really great at first as,these ts2 models are great i 've owned,& videos lite weight great little carry a,the travel and takes great pictures i took,great basic point and,my one before worked great this one seems,great battery life two,the camera itself is great but it is,it 's a great camera the only,this camera is great for me i,overall it 's a great camera for me,able to get a great shot of a,great camera my wife,great camera for the,it was great while it worked,this is a great first dlr camera,great family camera easy,great purchase and item,great piece for the,great camera my wife,and easy to use great sr auto modes,it 's still a great camera lightweight yet,the 12x zoom is great in the outdoors,great camera and takes,great little camera i,one all pictures look great and you really,great little camera works,this is a great camera that 's,but the quality is great good price good product,great camera great pictures,great little camera
2	love	409,304,462,264,375,477,111,80,377,470,398,428,231,395,430,476,49,324,466,274,22,388,173	worth the wait i love it it works,or on my belt love the big tilting,warranty ran out i love this camera it,going strong i absolutely love this thing and,taking pictures i truly love my camera and,love this camera super,we just love this camera the,i love my camera the,5d mark ii i love the camera the,i love this camera it,handy too i just love,overseas trips and just love the photos i,is easy to operate love it,love my lumix was,i love this camera it,love this camera not,love this camera we,i love this camera it,we really love this camera it,shot range camera i love its sleek thin,love this little camera,great camera love the underwater aspect,love that you are able to drop it
3	good	144,366,133,482,334,207,202,440,140,491,281,40,186,452,287,11,87,436,465,34,465,41	does n't have as good a zoom and,camera took a few good pictures before it,had it should be good for the family,the function is good the design is,coolpix s4000 and had good results but thought,and they generally take good pictures however if,it was good to me,is in focus is good,but it is a good camera i gave,batteries dont last long good purchase for kids,also very good very good lens,this is a good camera but modern,etc and is as good as the day,takes as good of pictures as,the camera shoots are good in high light,screen the pictures were good and sharp with,was good at the time,not to be as good as my previous,good flash not to good review display but,the camera took some good pictures but the,camera for casual photography - nice features - good flash,nice camera - delivery on time - good purchase
4	easy	283,99,276,44,99,189,165,21,231,466,152,247,478,403,25,446,165,494,161,66,448,479,276,277,399	easy enough to use,an 8gb sd card easy picture taking and,is light weight and easy to use i,the dial is so easy to use,little thick but very easy to slide in,bag nice photos and easy to use,for an all around easy picture taking,simple and easy too use great,pictures and it is easy to operate love,it 's small and easy to fit into,pretty light and is easy to use this,my pictures it 's easy to operate and,seems like it is easy to use and,as is the projector easy to focus the,while overseas it was easy to use the,wonderful photos and is easy to use no,this camera is easy to use and,suggest it to anyone - easy - simple - pocket friendly,use it all the time - easy to operate,great camera takes very good photos easy to use,nice camera easy to use,excellent pictures - easy to use,best one so far - easy to use,very nice - easy to use,works great - easy - small
5	great camera	201,340,225,110,13,11,330,432,66,182,179,300,433,43,68,345,112,278,115,388,332	great camera but it is,just a great camera with a great,great camera do not regret,great camera using a docking,do it is a great camera and i loved,it was a great camera it worked for,to france again lol great camera 10 10 would,is my second nikon great camera fast service,great camera takes very good,year and still a great camera,great camera most people just,has been a great camera indoor or out,great camera does more than,great camera and great service,great camera however the shutter,great camera for the price,outdated by now but great camera completely satisfied,great camera highly rated in camera reviews,great camera great pictures,great camera love the underwater aspect,great camera works as advertised
6	great pictures	426,419,26,387,421,488,297,460,466,306,149,22,250,21,243,318	takes great pictures lots of functions,your hand and takes great pictures,works perfectly and takes great pictures,handy for snorkeling takes great pictures,it takes great pictures,best water camera great pictures and great price,it most every day great pictures and wonderful video,pros who simply want great pictures of their outdoor,items it also takes great pictures and we 're,do its thing automatically great pictures and the battery,it 's given me great pictures i would highly,this little camera takes great pictures,we took so many great pictures,and easy too use great pictures,takes great pictures when it works,takes great pictures trust that
7	quality	420,360,73,44,156,252,75,400,58,245,281,52,277	camara die but the quality is great good,part is the video quality and isweep panorama,no degradation in photo quality hope this helps,and nothing beats their quality i have more,sexy looking camera the quality of the pictures,never been wrong photo quality is great and,s3 is faster and quality is pretty comparable,the sd card the quality of the image,testament to the build quality of kodaks that,this price range or quality beats it,well as video capture quality is also very,piece for the price quality and reasonable shipping,very surpriesed by the quality of the sound
8	works great	269,35,409,79,458,324,136,162,55,215,180,163,399	works great for closeup pictures,condition as advertised it works great with many fine,i love it it works great thank you very,the camera works great the pictures look,works great bought as gift,it looks great and works great,those separate and camera works great now love it,shipping and the camera works great my dream camera,this camera works great,came on time and works great,of this camera it works great for pools and,works great just like the,great gift for a teen - works great
9	best	252,295,20,294,488,159,166,276,407,323,1	was one of my best purchases ever i,since it 's the best point and shooter,best camera i ever,a camera maybe the best of the point,best water camera great,best powershot g series,for it used the best thing about it,this camera is the best one so far,this is definitely the best waterproof camera out,best little camera ever,cameras today my recommendation best digital pro cameras
10	price	192,43,282,464,36,167,82,345,218,438,213,188	good camera for its price still use it,and great service and price,was really worth the price for pictures i,for the price it ca n't,really good for the price it holds my,buy worth for the price,this price is way off,great camera for the price,to wait for the price of an m9,excellent camera for the price took this camera,i really appreciate the price i took it,good quality and price
11	excellent	286,84,307,497,146,302,301,354,396,305	an excellent camera compact well,this is an excellent item,excellent choice works well,pics for the money excellent camera for any,excellent for it 's,photographers the quality is excellent ease of use,camera i ever tried excellent pictures high quality,my friend does an excellent job for pictures,exactly want i wanted excellent service highly recommended,excellent conditions a very
12	camera	187,338,383,277,61,462,92,157,137,5	great little camera still use it,purchase i had a camera exactly like this,i need another identical camera,the sound from the camera and it was,much more than a camera phone does now,out i love this camera it 's pretty,pretty good little camera,wonderful little camera keep two batteries,good seller great little camera,I will need to now destroy the camera
13	easy to use	326,450,470,264,415,80,353,419,457,47,405	camera for the price easy to use,takes nice pictiures and easy to use,this camera it is easy to use for the most,and just want an easy to use camera that takes,niece found it fairly easy to use she was n't,come out beautifully very easy to use,help make the camera easy to use it 's a,this camera is easy to use and fits in,this is an easy to use camera and lining,this camera it is compact easy to use and takes sharp,takes great pictures - easy to use
14	use	165,276,277,189,44,66,276,111	camera is easy to use and carry the,weight and easy to use i do not,very nice easy to use i was very,photos and easy to use,is so easy to use,good photos easy to use,so far easy to use and with a,your pocket easy to use and no lens
15	not	75,274,427,125,285,400,394,465	found that olympus has not been one of,back is it does not have stabilized built,day long sounds wonderful not for me good,good photos but is not the perfect quality,it 's not a bad camera,of the image is not what i expected,then the camera would not turn on come,nice features good flash not to good review
16	good camera	369,454,375,192,426,191,51,372,266	good camera for the money,very good camera take great photos,for making such a good camera,good camera for its price,pictures lots of functions good camera,good camera but pictures fuzzy,good camera but eats through,a good camera for partys,good camera good value
17	love this camera	203,85,247,46,245,149,306	love this camera used it underwater,i love this camera once i figured,wide angle lens i love this camera i always get,purchase this used one love this camera and it is,love this camera so much when,i love this camera i 've been,i love this camera if i want
18	broke	424,329,291,338,389,174	broke after a few,focus on mine is broke i have to,this camera broke not long after,dropped it recently and broke the lens i,battery cover broke and water damaged,expired it leaked and broke
