Product	Date_Posted	Star_Rating	Title	Review_Text
Rules of Ascension: Book One of Winds of the Forelands	13-JUL-14	3	Okay	I really tried to like this series and mostly I did like it. The real problem is that it is kind of shallow. the characters. very one dimensional and not enough depth to them to really make you care enough or really grab you. To be fair I own the 1st 3-Books and finally put it down to rest then. Its a good lite read for someone not really looking for any complexity to story or characters and I do recommend it as a lite read.
Rules of Ascension: Book One of Winds of the Forelands	20-JUL-14	4	A review of the whole five-book series	NO SPOILERS BEYOND DUST-JACKET INFORMATION. The Winds of the Forelands is a five-book fantasy series by author David Coe. The books are, in order: 1.The Rules of Ascension, 2. The Seeds of Betrayal, 3. The Bonds of Vengeance, 4. The Shapers of Darkness, and 5. The Weavers of War.. Coe takes readers to the world of the Forelands, a medieval, feudal society where humans (called Eandi) uneasily coexist with a minority population of another intriguing race, called the Qirsi. The Qirsi lack the physical strength and vigor of the Eandi but possess one or several of the following magical abilities: gleaning the future, creating and controlling fire, summoning mists/winds, shattering hard substances with a thought, understanding the language of beasts, healing, and reading/controlling the minds of other Qirsi. Once in a generation or so, a Qirsi is born who possesses all seven of these magical powers, and can also combine the powers of other Qirsi into a single, potent weapon. This individual is called a Weaver.. The plot of the five novels centers around two Qirsi weavers who find themselves in opposition. The Qirsi are relegated to second-class status in the Forelands: they often serve as high-ranking ministers to the Eandi nobles, but do so as servants. A weaver-minister hatches a conspiracy whereby the Qirsi will destabilize the Eandi courts through murder and intrigue. Ultimately he plans to reveal himself and lead a Qirsi army to wrest the Forelands from the weakened Eandi and set himself up as king. It's pretty clear early on that this Weaver has fascist tendencies and that his idea of Qirsi rule will be terrible despotism for the whole realm. The only person in the Forelands who has the power to defeat this budding tyrant is Grinsa, another secret weaver. Despite his great powers, Grinsa is a lover, not a fighter, who seeks to prevent war at all costs, even if it means siding with the human/Eandi status-quo over members of his own race.. The first four novels chronicle the slow development of the conspiracy and the growing distrust between the Eandi and Qirsi, leading to the inevitable showdown between Good Weaver and Bad Weaver in the fifth book.. Coe writes action sequences well, although some readers might find that the action in these books is too widely dispersed between many chapters of discussion. Clearly the author loves to write dialog, and much of the bulk of Winds of the Forelands is taken up by conversations between the characters on strategy and politics. At times I found myself thinking, "Haven't we had this discussion before?" Luckily for the reader, the characters are, quite simply, intelligent; so is their conversation. When Coe occasionally does turn to narrative, descriptive passages, his writing is clear and evocative.. I would have thought that these novels are a little too preoccupied with the details of court politics and the psychological complexities of conspiracy paranoia to appeal to young readers. However, my fourteen-year-old nephew absolutely adored the series and is well in to the follow-up trilogy Blood of the Southlands.
The Veil of A Thousand Tears (The Pearl)	10-AUG-14	1	The pearl	strange story where the author found the words and names of the people places  and animals out of a nightmare or something.
Legacies (Corean Chronicles)	26-JUL-14	5	new saga, new world	Corus is a world barely recovered from a great cataclysm that destroyed its powerful civilization and most of its population. Competing societies are locked in conflict. Our hero is a young man from a herder family who is conscripted into the militia and ends up changing the world. Modesitt's usual blend of strange powers, solid military tactics and compelling characters create a world you will want to read more about.
The Center Cannot Hold (American Empire, Book Two) (Southern Victory: American Empire)	30-JUL-14	5	The center cannot hold	Great book, great series.  Have read all of them several times.  Highly recommended to anyone who loves an involved story line
The Fiery Cross (Outlander Book 5)	13-JUL-14	5	As like all the Outlander Series	As like all the Outlander Series, Galbaldon keep me hungry to read more about the exciting adventures of Claire and Jamie. The concept of trying to time travel is exciting to say the least, but adding in historical events is brilliant.  Love this series!
The Fiery Cross (Outlander Book 5)	13-JUL-14	5	Five Stars	Best series ever! Read the whole series, it will stick with you forever!
The Fiery Cross (Outlander Book 5)	14-JUL-14	5	Fantastic	Fantastic book.  Loved all of it.
The Fiery Cross (Outlander Book 5)	15-JUL-14	4	Four Stars	keep up the outlander series
The Fiery Cross (Outlander Book 5)	16-JUL-14	5	Outstanding	My favorite author, ever. This is not a stand alone book. Start with Outlander and enjoy! I am re-reading the entire series so that I can remember all the details before reading book eight in the series: Written In My Own Heart's Blood.
