Product	Date_Posted	Star_Rating	Title	Review_Text
Kodak DC290 2MP Digital Camera w/ 3x Optical Zoom	13-AUG-14	5	"IF YOU CAN FIND ONE BUY IT! GREATEST DIGITAL W FLAWLESS PHOTOS MADE!"	You are looking at one of Kodak's finer digital cameras.. Because this was the beginning of the "mp" where more was not necessarily better.. I recall the craze when everyone kept demanding higher mp! I personally wouldnt trade my 2mp camera for the big 10mp anyday!. This camera, if you can find one as no one who has one is willing to part with it as it still to this day takes crisper cleaner better focused pictures than the digital cameras today.. MY RECOMMENDATION:BEST DIGITAL PRO CAMERAS OUT THERE!. MY RATING: AAAAAAAAAAAAAAAAAAAAAAAA++++++. **be sure to check all my 100% honest accurate reviews!**
Olympus D-360L 1.3 MP Digital Camera	15-JUL-14	4	and make them as big as I like. then I put them on DVD to make ...	I had just purchased my  third Olympus one D340 R and two D360L the pace I put these cameras through , surprised me how long they lasted. the only trouble I had with the other too is a flimsily battery door latch, both finally gave way and I had to make my own door latch ;. I am reading  reviews on here and all state there is no zoom. the camera has one zoom on it, you hit the + and you get a zoom in on your subject. hit - and it moves to a farther out view. but with my Kodak reader I can transfer my pictures to my PC, and make them as big as I like. then I put them on DVD to make a slide show. for the money you can't beat the camera, just wish Olympus would beef up there battery door latch. The D360R I have now still works but had to make  my own latch to hold the batteries in. over all I would give it 4 and a half stars, better latch for the battery door would be a 5 star.
Kodak DC3400 2MP Digital Camera with 2x Optical Zoom	18-JUL-14	4	I liked my original camera	Bought it as an exact replacement for my camera that was stolen when my car was broken into.  It is indeed an exact replacement.  I liked my original camera, that's why I bought this one, and it did not disappoint me.
Sony Cyber-shot DSC-P1 3.3 MP 3x Optical Zoom Digital camera (Metallic Silver)	09-AUG-14	1	There was no memory card with camera. I thought ...	There was no memory card with camera. I thought i was getting everything but there was no memory card.. Have to return camera due to this short coming
Olympus Camedia Brio D-150 1.3MP Digital Camera w/ 3x Optical Zoom	14-JUL-14	1	The product is a disaster. It arrived without any ...	The product is a disaster.  It arrived without any instructions (which I was finally able to locate online) or cable.  It has no internal memory and requires an SD card.  I loaded a card into the camera. and that's the last I've seen of it.  Contrary to the instruction on the camera "Press to eject," the card is in the camera and cannot be retrieved.  In order to get the card back (it already had some pics on it), I will need to now destroy the camera.  Will not purchase from this vendor again.
Sony DSCS75 Cyber-shot 3MP Digital Camera w/ 3x Optical Zoom	19-JUL-14	1	One Star	Don't wast your money on this piece of junk. It don't work and it can't read the memory card.
Polaroid Fun! 620 Digital Camera	03-AUG-14	5	Takes good pictures.	This is a decent digital camera for the money.. Takes good pictures.
Sony DSCS85 CyberShot 4.1MP Digital Still Camera w/ 3x Optical Zoom	16-JUL-14	5	Five Stars	Great price for the camera!
Sony DSCS85 CyberShot 4.1MP Digital Still Camera w/ 3x Optical Zoom	26-JUL-14	5	VERY happy with purchase	Fast delivery.  VERY happy with purchase.
Canon PowerShot G2 4MP Digital Camera w/ 3x Optical Zoom	07-AUG-14	1	"Like new", yeah not really	Seller sold item, a canon powershot, as like new condition. When I received it, the package was in perfect condition. When I opened it, the body itself was cracked and there was a huge dent in the corner of the camera, obviously from either being thrown or dropped from height. On the good it does work. Overall very disappointed. I couldn't figure out how to send it back or rate it until I found this email. The damage was from the previous users, as the packaging was in perfect condition.
Canon PowerShot G2 4MP Digital Camera w/ 3x Optical Zoom	10-AUG-14	5	great camera.	It was a great camera, it worked for about 8 years until I dropped it and broke the screen. The pictures were good and sharp with vivid colors. It worked well in the automatic mode, and in manual, too.
Canon PowerShot S30 3MP Digital Camera with 3x Optical Zoom	17-JUL-14	1	canon powershot	For some unknown reason, this camera did not function properly as expected. I had use the exact camera for years when the sliding door for the lens broke.
Aiptek PCM13 PenCam 1.3MP Digital Camera	03-AUG-14	4	Problem downloading camera on my computer	I cannot get it to download to my computer. I had one before and used it with my old computer, a XP Professional, but I now have a Windows7 Professional and the camera cannot will not downoal to it. What can I do? It is a great camera and I loved the old one I had.
HP PhotoSmart 318xi 2.31MP Digital Camera with 2x Optical Zoom	12-AUG-14	1	Can't review, camera was broken.	I can't give it a review because the camera was covered in battery acid.
Olympus Camedia C-4000 4MP Digital Camera w/ 3x Optical Zoom	02-AUG-14	4	Four Stars	TOOK IT TO IRELAND ON A TRIP - IT WORKED VERY WELL
Kodak EasyShare DX4330 3MP Digital Camera w/ 3x Optical Zoom	10-AUG-14	4	Four Stars	worked good for me,
Nikon Coolpix 2100 2MP Digital Camera w/ 3x Optical Zoom	03-AUG-14	2	Two Stars	Good price, delvered on time but stopped working after  3 weeks
Canon PowerShot A60 2MP Digital Camera with 3x Optical Zoom	01-AUG-14	5	Five Stars	Item was received on time, as advertised.
Canon PowerShot S50 5MP Digital Camera w/ 3x Optical Zoom	05-AUG-14	1	Do some more research and FIND ANOTHER CAMERA!	This is a piece of junk. Go buy a newer camera.. Camera is huge and you have to buy a special kind of battery and charger. Its old technology and wasnt even that great for its time.
Sony DSC-F828 8MP Digital Camera with 7x Optical Zoom	22-JUL-14	5	Five Stars	best camera I ever try
FujiFilm FinePix S3000 3.1MP Digital Camera w/6x Optical Zoom	15-JUL-14	5	Five Stars	simple and easy too use great pictures
SD10 Canon Powershot SD10 4MP Digital Camera COLOR	22-JUL-14	5	Five Stars	Love this little camera.  Takes great pictures
Kodak Easyshare LS743 4 MP Digital Camera with 2.8xOptical Zoom	08-AUG-14	5	Great camera	Purchased this camera for my wife.  She loved it and uses it often.
Casio Exilim EX-Z40 4MP Digital Camera with 3x Optical Zoom	29-JUL-14	1	Disappointed	The camera came with no cord and no battery charger. once I spent double the price of the camera, and then some, for the charger. the battery was bad!  Very disappointed!!
Olympus C60 6MP Digital Camera with 3x Optical Zoom	21-JUL-14	5	This thing was awesome ten years ago.	Oh heavens.  I bought this thing in 2005 while I was deployed to replace a 3MP camera I had at the time.  It served extremely admirably, allowing for some excellent photos to be taken while overseas.  It was easy to use, the adjustable settings were easy to operate, and it was just a wonderful camera.. It got stolen from my house in 2011.
Olympus D540 3.2 MP Digital Camera with 3x Optical Zoom	14-JUL-14	5	Five Stars	Great little camera.  Works perfectly and takes great pictures.
Canon PowerShot S1 IS 3.2 MP Digital Camera with 10x Image Stabilized Optical Zoom	09-AUG-14	4	PowerShot	Canon had problem with this S1 - was replaced with a used S5.
Canon PowerShot S410 4MP Digital Elph with 3x Optical Zoom	09-AUG-14	5	Five Stars	still working good till now
Canon PowerShot S500 5MP Digital Elph with 3x Optical Zoom	20-JUL-14	5	Canon PowerShot S500 5MP Digital Elph with 3x Optical Zoom	Canon PowerShot S500 5MP Digital Elph with 3x Optical Zoom. Small but nice pictures.
Sony Cybershot DSCP73 4.1MP Digital Camera with 3x Optical Zoom	18-JUL-14	2	I ordered DSCP73 4. 1MP Digital Camera with 3x ...	I ordered DSCP73 4.1MP Digital Camera with 3x Optical Zoom and I received Sony Cybershot DSCP41 Digital Still Camera. It works okay, but very different from the camera that I ordered.
Sony Cybershot DSCP73 4.1MP Digital Camera with 3x Optical Zoom	01-AUG-14	5	Five Stars	you have to have the best stuff at the BEST price $$$
Sony Cybershot DSCW1 5MP Digital Camera with 3x Optical Zoom	14-JUL-14	1	One Star	Did not like this camera at all.
Nikon D70 Digital Camera (Body Only)	25-JUL-14	5	Five Stars	Exactly what I wanted.
OLYMPUS Camedia C-725 Ultra Zoom Digital Camera	05-AUG-14	1	The camera took some good pictures, but the disc to download the camera ...	I have had the camera for 4 or 5 months, but it is nearly worthless to me. The camera took some good pictures, but the disc to download the camera to the computer is next to worthless. The instructions are long and tedious, which has discouraged me from trying to download pictures. My advice is to purchase from another buyer!
HP Photosmart R707xi 5.1MP Digital Camera with 3x Optical Zoom	05-AUG-14	5	Great Camera with Fantastic Features	Received camra quickly and it is in excellent condition as advertised.  It works great with many fine features and it was priced right.
Nady SSM-3 Shock Mount	17-JUL-14	5	Really good	This is really good for the price it holds my mike up very well
Canon PowerShot G6 7.1MP Digital Camera with 4x Optical Zoom	29-JUL-14	5	I was very satisfied with the speed of delivery	I had used this model camera at work and it was what I wanted and needed for my own use.  I was very satisfied with the speed of delivery, the condition of the camera, and rate my overall satisfaction as outstanding.
Canon PowerShot S70 7.1MP Digital Camera with 3.6x Optical Zoom	04-AUG-14	5	Five Stars	Camera came in great shape, even better than expected, great price.
Panasonic Lumix DMC-LC80 5MP Digital Camera with 3x Optical Zoom	16-JUL-14	4	Four Stars	good performance and pictures.
Panasonic Lumix DMC-FZ3 3MP Digital Camera with 12x Image Stabilized Optical Zoom	24-JUL-14	5	Decent Older Camera	This is a good camera but modern ones have so much more resolution. Plenty good for 8x10s though.
HP Photosmart M407 4MP Digital Camera with 3x Optical Zoom	06-AUG-14	5	Nice camera. Delivery on time	Nice camera.  Delivery on time.  Good purchase
Nikon Coolpix 4800 4MP Digital Camera with 8.3x Optical Zoom	23-JUL-14	5	Five Stars	Vendor was really good to work with.
Konica Minolta Dimage Z5 5MP Digital Camera with 12x Anti-Shake Zoom	29-JUL-14	5	Five Stars	great camera and great service and price
Canon Powershot A520 4MP Digital Camera with 4x Optical Zoom	17-JUL-14	5	One of the best out there	I purchased this Camera as a backup and I find I am using it more than my other Camera's because the pictures are so bright and the video's are out of this world.  Canon is a great brand and nothing beats their quality.  I have more expensive Camera's and they did not come close when it comes to the sharpness.  I did not need a manual to operate because the dial is so easy to use.
Kodak Easyshare Z740 5MP Digital Camera with 10x Optical Zoom	21-JUL-14	5	Fantastic, excellent condition	Fantastic , excellent condition. Thanks.
Kodak Easyshare Z740 5MP Digital Camera with 10x Optical Zoom	29-JUL-14	5	great camera	bought this to replace one I had had for over 10 years that finally died.  Couldn't find a repair shop so was real glad I could purchase this used one.  Love this camera and it is just like new.
Kodak Easyshare Z740 5MP Digital Camera with 10x Optical Zoom	01-AUG-14	5	Love it	I was not disappointed with this camera.It is compact easy to use and takes sharp pictures great features like the burst mode. I was able to get a great shot of a running deer felt like a pro.You will too.
Sony DSCP200 7.2MP Digital Camera 3x Optical Zoom	16-JUL-14	5	Still a workhorse digital camera, fully adjustable	Ok, so these were made in 2005.  They are the most rugged and dependable Sonys ever made.
Kodak Easyshare Z730 5 MP Digital Camera with 4xOptical Zoom	06-AUG-14	5	Love It!	Love this camera! We have had it for years. We dropped ours in Boulder Creek. Let it dry for 3 days and it works perfectly!  We just retired and this is a camera that we both know how to use so we wanted one for each of us. Thanks Bob for the super fast shipping and the bonus card! We really appreciate it.
Sony Cybershot DSCS60 4.1 MP Digital Camera with 3x Optical Zoom	23-JUL-14	4	For everyday pictures this is a Reasonable camera for the money.	Takes very decent Pictures for daylight and night at short distance.  For everyday use.this is not a pro camera, but will last for some years. Well built. very reasonable for the money. Does not feel cheap or plastic in your hand.. Because of low MP, not recommended for printing, but nowdays few people print the pictures. so it will suit. those who just want to take family, friends, pets, house etc. everyday pictures.
Konica Minolta Dimage E500 5MP Digital Camera 3x Optical Zoom	26-JUL-14	4	Hungry camera wants more batteries	Good camera, but eats through normal alkaline batteries like I do with potato chips.  If you get this camera, get those rechargeable high capacitance batteries.
Casio Exilim EXS500 5MP Digital Camera with 3x Optical Zoom	23-JUL-14	5	Five Stars	Great piece for the price quality and reasonable shipping time
Canon Powershot A620 7.1MP Digital Camera with 4x Optical Zoom	10-AUG-14	5	Works fine. Takes good pictures and has a nice comfortable ...	Works fine.  Takes good pictures and has a nice comfortable grip.  It uses AA batteries and has a view finder (which is necessary in bright sun).  I am very happy with it.
Sony Cybershot DSCN1 8.1MP Digital Camera with 3x Optical Zoom	26-JUL-14	4	the camera work well in the in closure so that's good. There should have been information on the memory ...	You.did not tell me that I needed a memory stick and there was not one in the camera! This caused me to not be able to use camera on my vacation, the camera work well in the in closure so that's good. There should have been information on the memory stick!
HP Photosmart M425 5MP Digital Camera with 3x Optical Zoom	08-AUG-14	5	Five Stars	this camera works great
Fujifilm Finepix A500 5MP Digital Camera with 3x Optical Zoom	15-JUL-14	5	description matched	I received this in good shipping time and it works fine. Reasonable price and everything the description says it .
Fujifilm Finepix A500 5MP Digital Camera with 3x Optical Zoom	29-JUL-14	1	very disappointed. The camera was in good shape but to ...	very disappointed . The camera was in good shape but to my surprise it was so out dated that I could not find any store that carried a memory card that would fit this camera. I'm glad I only spent $19.00 because it sits in a drawer now..  now.
Kodak Easyshare C533 5 MP Digital Camera with 3xOptical Zoom	30-JUL-14	5	Still Going Strong! Decent and Reliable Back-Up Camera	I had to post this even though the camera is a very old model. It's a testament to the build quality of Kodaks that this little camera is still working after getting a lot of constant use over the years. Its 3X zoom is decent enough for product shots as long as you use a tripod and have plenty of light on the subject. For good sharp pics use the macro setting and get in close. Otherwise it's a decent point and shoot camera, a good spare to pack on trips with a 4-pack of AA batteries.
Sony Cybershot DSCW50 6MP Digital Camera with  3x Optical Zoom	30-JUL-14	5	Excellent camera.	I believe I don't have to explain too much.Excellent camera.
Nikon Coolpix L3 5.1MP Digital Camera with 3x Optical Zoom	21-JUL-14	5	Great service!!	Absolutely excellent service in every way!! Camera was perfect!!
Casio Exilim EXS600 6MP Digital Camera with 3x Optical Zoom (Silver)	13-AUG-14	4	Four Stars	doesn't do much more than a camera phone does now.
Canon PowerShot A540 6MP Digital Camera with 4x Optical Zoom	18-JUL-14	5	I have used the Canon A540 for the past six years and have been well satisfied with its performance	This was a replacement for one of the same model which was recently damaged beyond repair.  I have used the Canon A540 for the past six years and have been well satisfied with its performance.
Canon PowerShot A530 5MP Digital Camera with 4x Optical Zoom	19-JUL-14	5	A Photo Work Horse	What an amazing product.  I don't think you can break this thing. It just keeps going and going and going.  It takes clearer pictures than things far newer and more expensive.
Canon PowerShot SD600 6MP Digital Elph Camera with 3x Optical Zoom	23-JUL-14	5	Long lasting and compact camera	I have had this camera for nearly 8 years and it is still going strong. It takes pretty good pictures and fits in your pocket. I would be happy to keep it for many more years!
Canon PowerShot SD600 6MP Digital Elph Camera with 3x Optical Zoom	29-JUL-14	5	Very nice quality buy for the money!	Very nice quality buy for the money!
Canon PowerShot Pro Series S3 IS 6MP with 12x Image Stabilized Zoom	30-JUL-14	5	Five Stars	Great camera takes very good photos, easy to use.
Sony Cybershot DSC-H2 6MP Digital Camera with 12x Optical Image Stabilization Zoom	17-JUL-14	5	but it's still a great camera. Lightweight yet fully featured	By now this is an obsolete piece of equipment, but it's still a great camera. Lightweight yet fully featured, it's lacking only an interchangeable lens to make it a completely professional camera. If you're trying for gallery quality prints you'll be limited to 8x10s.
Sony Cybershot DSC-H5 7.2MP Digital Camera with 12x Optical Image Stabilization Zoom	16-JUL-14	2	Shutter button broke	Great camera, however the shutter button is plastic and broke.  Fixing it is over $200.
Panasonic Lumix DMCTZ1 5MP Compact Digital Camera with 10x Optical Image Stabilized Zoom	31-JUL-14	2	not as good as my last one	my one before worked great. this one seems to have blurry pictures every once in awhile. like maybe it doesnt open all the way. off, then on and its better
Samsung Digimax S500 5.1MP Digital Camera with 3x Optical Zoom	02-AUG-14	4	Good for the price, eats batteries	Batter hog, use NiMH rechargables with this one, but for the price, I love the quality.
HP Photosmart R827 7.2MP Digital Camera with 3x Optical Zoom	02-AUG-14	5	Five Stars	Very happy, takes excellent pictures for use with rental properties entry and exits. 
HP Photosmart E427 6MP Digital Camera	13-AUG-14	4	Four Stars	Worked as new unit
