Product	Date_Posted	Star_Rating	Title	Review_Text
Cuddl Duds Medallion Lace Camisole - Misses, Womens	04-AUG-14	4	Four Stars	Very pretty and comfortable but offers no support what-so-ever. Will enjoy lounging at home, but would not wear out!
Cuddl Duds Medallion Lace Camisole - Misses, Womens	11-AUG-14	5	I like cuddl duds and have worn them for years especially ...	I like cuddl duds and have worn them for years especially in the winter.  I first purchased at our local store but they are much less expensive on the net.
Velrose Comfort Strap Camisole	14-JUL-14	2	too small	I bought two sizes bigger but it still road up, didn't stay tucked.
UltraSofts by National UltraSofts Button-Front Knit Cardigan	28-JUL-14	5	Pretty color.	I bought this for my mom along with another similar one.  She is about 5'2 and this fit her nicely, unlike the other one which was too long.  The color was a very pretty and flattering emerald color.
UltraSofts by National Women's Turtleneck Full Sleeve Top	21-JUL-14	3	Baggy and shapeless	Baggy and shapeless. Medium size was too large even after washing.
UltraSofts by National Women's Mock Turtleneck	28-JUL-14	4	boxy shape as you might guess	soft base for winter layering
Full Tilt Women's Essential Seamless Cami	18-JUL-14	5	Perfect layering cami - great value	I ordered the seamless cami in 11 or 12 colors so far. Originally I looked at it as a cheaper alternative to Skinnytees. if you buy 4 at a time there is no shipping (from Tilly) or much cheaper shipping (7th Sole) making these around $9-10 each to Skinnytees $20-24 each. These fit great. I am a size 14, 5'5" and I can pull them down past my hips. the fabric is good quality and offers light smoothing. I love the adjustable straps! I am probably going to end up with every color!
Port & Company Ladies Long Sleeve Value Denim Shirt LSP10	14-JUL-14	3	Three Stars	Not the best quality, not I can ware it.
Port & Company Ladies Long Sleeve Value Denim Shirt LSP10	06-AUG-14	5	it is a very comfortable denim shirt	it is a very comfortable denim shirt; however, I'm glad I ordered it in the next size.  If I had ordered the shirts in the size I normally purchase, it would have been way too small.
Port & Company Ladies Short Sleeve Value Denim Shirt LSP11	17-JUL-14	1	GOOD QUALITY BUT...	The fit in the bust, waist was fine. But the arms, will it just about cuts off the circulation. I don't understand that. Why is the fit good everywhere else, but tight, tight, tight armholes???????. It was good quality, I will say that. I'm not sure if I ordered the next size up, if that would help. I still think the arms would be too tight
